"FS PEAK";"FS INT";"SS PEAK";"SS INT";"CD11b FITC";"LIN PE";"FL3 INT";"CD33 PCP55";"CD14 PC7";"CD34 APC";"CD15 EF450";"HLA DR V510";"TIME"
88272;514728;25952;157013;40766,04;1469,991;803,2831;23976,73;62839,24;-3136,517;503,8619;1512,692;1318
67360;397436;24160;147164;22800,42;1279,032;-291,9278;10384,37;24942,97;-1239,09;38,95578;3866,561;1320
107536;732196;68992;399430;23976,8;1893,519;-3700,979;8458,199;-913,0812;6947,059;82975,97;-202,1892;1354
83856;523468;25072;154335;31916,96;1412,959;2496,25;17388,23;33610,86;-1573,089;367,3852;7606,01;1358
69856;425482;24336;143946;29532,83;1654,557;-1246,383;9024,053;33799,57;-1520,394;567,2843;374,3957;1371
84128;532956;31280;189218;55848,58;2782,053;1426,604;20587,18;74167,11;-3036,609;1498,697;1780,362;1396
33504;259048;31280;256228;45542,26;5247,347;-3429,712;10496,07;28127,35;415,891;606,9748;691,5284;1400
103888;637211;56880;339065;38187,52;248,0208;-1922,331;22255,03;-1386,439;1000,693;42594,43;1009,507;1407
109744;670897;35600;222430;40059,77;-321,1885;4642,68;12727,82;61979,67;-2445,135;233,5378;706,765;1414
83888;478917;15456;88412;12066,88;564,1683;-771,6467;4159,395;-250,3418;-14,39316;227,2908;509,4285;1430
92080;539914;39056;227443;78896,83;1156,903;-7055,747;15950,41;26597,91;-1471,091;8763,321;577,9126;1432
89872;503785;21424;121604;28933,93;1410,246;-2351,386;6342,826;23570,87;-288,284;121,6613;536,4309;1433
103296;609493;60816;356104;37751,19;-1311,48;2645,339;19786,21;-1808,172;1904,191;29346,34;1264,329;1436
105696;625206;29008;169090;82867,16;893,3663;-5573,431;17546,66;41948,59;-2308,561;883,9635;876,0488;1438
120176;785345;48768;319788;4012,075;389,1049;1094,034;7083,249;2961,586;-73,08023;780,5338;437,7475;1445
130608;874207;77984;449227;2933,203;1184,009;1531,639;1503,615;-15,60248;138,3926;17575,83;463,5669;1460
86656;503134;21488;125216;28395,05;-439,7704;4780,146;14174,27;31569,9;-857,3104;8,476166;2653,605;1460
